model_id,display_name,model_tag,task_id,round,cohort,run_id,attempt_id,validity,termination,runtime_seconds,public_passed,public_total,hidden_passed,hidden_total,official_score,official_outcome,timeout,policy_derived,infrastructure_invalid,unchanged_base,source_ref,result_sha256,terminal_artifact_type,terminal_artifact_sha256
M01,GPT-OSS 20B,gpt-oss-20b-64k:latest,C08,1,ORIGINAL_ROUND1,R002-M01-C08,R002-M01-C08,VALID,NORMAL,908.618,30,56,10,10,0.0,FAIL,False,False,False,False,round1/round1-results/R002-M01-C08.json,eb24ca47688976942c64dc38c84c8fd5be53305fcf1af513fbeeb476b7e42d5f,OFFICIAL_RESULT,eb24ca47688976942c64dc38c84c8fd5be53305fcf1af513fbeeb476b7e42d5f
M01,GPT-OSS 20B,gpt-oss-20b-64k:latest,C09,1,ORIGINAL_ROUND1,R008-M01-C09,R008-M01-C09,VALID,NORMAL,213.125,25,25,21,29,0.0,FAIL,False,False,False,True,round1/round1-results/R008-M01-C09.json,ce0a28c075a0ee571d25c38bd1a5499a53b793ed1e67cfab20a715c7324e82e8,OFFICIAL_RESULT,ce0a28c075a0ee571d25c38bd1a5499a53b793ed1e67cfab20a715c7324e82e8
M01,GPT-OSS 20B,gpt-oss-20b-64k:latest,C10,2,ROUND2_C10,R2-C10-001-M01,R2-C10-001-M01-A02,VALID,NORMAL,85.6880532,4,5,4,13,0.0,FAIL,False,False,False,True,round2/certification/round2-c10-runs-v3/R2-C10-001-M01/official-evidence,e4ae4b7dcbddbfbeb341bb22bdf99b0fc780472c13a0186b8e08d6e2f932d3d5,FINAL_SEAL,7730d2d5af2f746122f76b37914b3d8216f2bfddf7d52bf0a7b61a940784d23c
M02,GLM-4.7-Flash,glm-4.7-flash-64k:latest,C08,1,ORIGINAL_ROUND1,R009-M02-C08,R009-M02-C08,VALID,TIMEOUT,1800.0,30,56,0,10,0.0,FAIL,True,False,False,False,round1/round1-results/R009-M02-C08.json,402e815e7228e5aae1ea4d240bb150c7cb647c225a0909db5dc61ff93f8873b2,OFFICIAL_RESULT,402e815e7228e5aae1ea4d240bb150c7cb647c225a0909db5dc61ff93f8873b2
M02,GLM-4.7-Flash,glm-4.7-flash-64k:latest,C09,1,ORIGINAL_ROUND1,R003-M02-C09,R003-M02-C09,VALID,TIMEOUT,1800.0,15,29,27,29,0.0,FAIL,True,False,False,False,round1/round1-results/R003-M02-C09.json,d3daca8e503f1d230185771b01860af74786bd16512f30585dc2a182857ce594,OFFICIAL_RESULT,d3daca8e503f1d230185771b01860af74786bd16512f30585dc2a182857ce594
M02,GLM-4.7-Flash,glm-4.7-flash-64k:latest,C10,2,ROUND2_C10,R2-C10-002-M02,R2-C10-002-M02-A01,VALID,NORMAL,469.2016659,4,5,3,13,0.0,FAIL,False,False,False,False,round2/certification/round2-c10-runs-v3/R2-C10-002-M02/official-evidence,80efb826fb7ed6f88c1e8139bd38ef05fbf92e714c268fcc98a1a0ca8fd51566,FINAL_SEAL,12293d76d1b7a112d9b16008193f038e0524198ab6942bd2d2c1cf8a776465d0
M03,North Mini Code 1.0,north-mini-code-1.0-64k:latest,C08,1,ORIGINAL_ROUND1,R004-M03-C08,R004-M03-C08,VALID,NORMAL,432.1,56,56,0,10,0.0,FAIL,False,False,False,True,round1/round1-results/R004-M03-C08.json,c84290efe611cfad41b4926efdc8856716bac5a8b11f24cd249297a01dbf1816,OFFICIAL_RESULT,c84290efe611cfad41b4926efdc8856716bac5a8b11f24cd249297a01dbf1816
M03,North Mini Code 1.0,north-mini-code-1.0-64k:latest,C09,1,ORIGINAL_ROUND1,R010-M03-C09,R010-M03-C09,VALID,NORMAL,1002.619,25,25,21,29,0.0,FAIL,False,False,False,False,round1/round1-results/R010-M03-C09.json,7e4b4d430a7d31402c1ddc3ed3396913a068c2ec0820a87563bb0c74db1ae139,OFFICIAL_RESULT,7e4b4d430a7d31402c1ddc3ed3396913a068c2ec0820a87563bb0c74db1ae139
M03,North Mini Code 1.0,north-mini-code-1.0-64k:latest,C10,2,ROUND2_C10,R2-C10-003-M03,R2-C10-003-M03-A01,VALID,TIMEOUT,1800.2463278,4,5,4,13,0.0,FAIL,True,False,False,True,round2/certification/round2-c10-runs-v3/R2-C10-003-M03/official-evidence,9e38b223ff8bf86a2748a5b7905f0424bcfd20083926360ff1b1a0da159bebe5,FINAL_SEAL,0dc24d8ee9e5a4678baa1feeae02a8a22af8a80bbd50cc71a8e8d35d50d0ca27
M04,Ornith 1.5 9B,ornith1.5-9b-64k:latest,C08,1,ORIGINAL_ROUND1,R011-M04-C08,R011-M04-C08,VALID,TIMEOUT,1800.0,56,56,0,10,0.0,FAIL,True,False,False,True,round1/round1-results/R011-M04-C08.json,776e9d15c30cd06fa5ad7228155a9a919b66b78cc0bacd88822ac01c0c06d970,OFFICIAL_RESULT,776e9d15c30cd06fa5ad7228155a9a919b66b78cc0bacd88822ac01c0c06d970
M04,Ornith 1.5 9B,ornith1.5-9b-64k:latest,C09,1,ORIGINAL_ROUND1,R005-M04-C09,R005-M04-C09,VALID,TIMEOUT,1800.0,25,25,21,29,0.0,FAIL,True,False,False,True,round1/round1-results/R005-M04-C09.json,11693ab4b3c0bf4020ca990f34184104a2cb6ad5daa376d3da9c864aecc7ee37,OFFICIAL_RESULT,11693ab4b3c0bf4020ca990f34184104a2cb6ad5daa376d3da9c864aecc7ee37
M04,Ornith 1.5 9B,ornith1.5-9b-64k:latest,C10,2,ROUND2_C10,R2-C10-004-M04,R2-C10-004-M04-A01,VALID,NORMAL,1519.6143407,5,5,13,13,1.0,PASS,False,False,False,False,round2/certification/round2-c10-runs-v3/R2-C10-004-M04/official-evidence,f7f872f8b77d0aebb71bbbe719fb59d0b73c4074df94a57e8a05eea1174a7110,FINAL_SEAL,abfc914c74d69b9333819b9f0befd9abc3fefe607f6255a4c8f1b78f05b63766
M05,Laguna XS 2.1,laguna-xs-2.1-64k:latest,C08,1,ORIGINAL_ROUND1,R006-M05-C08,R006-M05-C08,VALID,TIMEOUT,1800.0,56,60,10,10,0.0,FAIL,True,False,False,False,round1/round1-results/R006-M05-C08.json,898b51033860cdc582aeaf43c9160538eabeac51fdc3a0e41e196ffc06e1783c,OFFICIAL_RESULT,898b51033860cdc582aeaf43c9160538eabeac51fdc3a0e41e196ffc06e1783c
M05,Laguna XS 2.1,laguna-xs-2.1-64k:latest,C09,1,ORIGINAL_ROUND1,R012-M05-C09,R012-M05-C09,VALID,NORMAL,413.287,25,25,21,29,0.0,FAIL,False,False,False,True,round1/round1-results/R012-M05-C09.json,fc02ba04706b0b77007387e14e7173dae3fec5cd5b20757b4455e8c3546f6a56,OFFICIAL_RESULT,fc02ba04706b0b77007387e14e7173dae3fec5cd5b20757b4455e8c3546f6a56
M05,Laguna XS 2.1,laguna-xs-2.1-64k:latest,C10,2,ROUND2_C10,R2-C10-005-M05,R2-C10-005-M05-A01,VALID,NORMAL,1037.1928033,0,5,0,13,0.0,FAIL,False,True,False,False,round2/certification/m05-pre-vector-policy-amendment-v8-m05-closure,e199714e8e731024ff8b497341c386c66c6a1f2db198cf8f9cfd2f4138e84575,AMENDMENT_V8_CLOSURE,e80bcb99c4ac7a996591446435fe3e4b8e4385b183397dab4248cdc747b30194
